Tanggal,Lintang,Bujur,Magnitudo,Kedalaman_km,Lokasi,Sumber,Lokasi_Baru,Magnitudo_Original,Kedalaman_Original,Seismic_Moment_M0,Radiated_Energy_J,Benioff_Strain,Rupture_Length_Est,Gutenberg_Richter_b_value,Time_Delta_Hours,Dist_Delta_KM,Migration_Velocity,hour_sin,hour_cos,doy_sin,doy_cos,month_sin,month_cos,roll_7d_mag_mean,roll_7d_mag_std,roll_7d_mag_max,roll_7d_count,roll_7d_energy_sum,roll_7d_depth_mean,roll_14d_mag_mean,roll_14d_mag_std,roll_14d_mag_max,roll_14d_count,roll_14d_energy_sum,roll_14d_depth_mean,roll_30d_mag_mean,roll_30d_mag_std,roll_30d_mag_max,roll_30d_count,roll_30d_energy_sum,roll_30d_depth_mean,rolling_mag_mean,rolling_event_count,Cluster_KMeans,Dist_to_Cluster_Center,Cluster,MagScaled,DepthScaled,R_true,aco_heuristic,isVulkanik,is_Anomaly,Temporal_Risk_Factor,Model_Uncertainty,LSTM_Error,Context_Impact_Radius,Context_Risk_Pheromone,is_anomaly,Proporsi_Grid_Terdampak_CNN,Pheromone_Score,Final_Prob_Impact
2022-01-01 07:19:00,-8.15271639163772,114.382883140033,-0.06070287539936087,-0.7938718662952646,Banyuwangi,INATEWS,Banyuwangi,4.98,62.0,-0.0031069506084142866,-0.0031069506084142598,-0.022577847144591694,1.6451291587709695,-9.292726310349542,-0.5726240286909743,-0.7627261464691555,-0.4006049643132489,0.9659258262890683,-0.25881904510252063,0.017201575418260506,0.9998520419557735,0.49999999999999994,0.8660254037844387,-0.17621826654293216,-5.991599474774798,4.98,-2.8,-0.778778657139296,62.0,-0.2625436553834144,-9.212196622496549,4.98,-3.375,-1.070177625252979,62.0,-0.41329063040864417,-14.700826023578294,4.98,-5.181818181818182,-1.8514842047928672,62.0,4.98,1.0,2,-0.34189145817869954,2,9.96,31.0,-0.0377380146335933,2.3284830856195193,0,False,0.0,0.0,0.0,11.44481782754463,0.09942804494857178,False,0.9192754030227661,0.0,0.0
2022-01-01 09:27:00,-8.20184973231255,112.885895966267,-0.9680511182108625,-0.4818941504178273,Lumajang,INATEWS,Lumajang,2.14,174.0,-0.006456488528739128,-0.006456488528739128,-0.08028425694843352,0.018055104234106986,-9.292726310349542,-0.41960549910340705,0.8628649664819216,2.894213661825022,0.7071067811865476,-0.7071067811865475,0.017201575418260506,0.9998520419557735,0.49999999999999994,0.8660254037844387,-2.329836589620902,0.8924174682664138,4.98,-2.6,-0.7787786552145018,118.0,-3.380135214779509,1.3116967955115992,4.98,-3.25,-1.0701776239461382,118.0,-5.615739094681679,2.009400729358822,4.98,-5.090909090909091,-1.8514842038099817,118.0,3.5600000000000005,2.0,4,2.318239376257838,4,4.28,87.0,-0.16056462516876763,-0.43183496970973084,0,False,0.0,0.0,0.0,3.423902198867324,0.3123541412063902,False,0.8852571249008179,0.0,0.0
2022-01-01 09:29:00,-8.15544860525971,113.28648176098,0.9009584664536743,0.20612813370473537,Lumajang,INATEWS,Lumajang,7.99,421.0,109.64357608108752,109.64357608108747,10.437826088420303,196.3812409298282,-9.292726310349542,-0.5702331141661686,-0.32500004347748235,54.752366904034155,0.7071067811865476,-0.7071067811865475,0.017201575418260506,0.9998520419557735,0.49999999999999994,0.8660254037844387,-0.0902757513027315,4.036660292563065,7.99,-2.4,0.3677483269221268,219.0,-0.13813272460939188,6.118436325210748,7.99,-3.125,-0.29174206922434187,219.0,-0.2056811846512696,9.641719329824232,7.99,-5.0,-1.2660163888716165,219.0,5.036666666666667,3.0,4,-0.3611103246523355,4,15.98,210.5,4.7450497357707375,0.5079109959459213,0,False,0.0,0.0,0.0,24.43726221431725,0.273375846252066,False,0.9276118278503418,0.0,0.0
2022-01-01 14:02:00,-7.84234983182878,113.168277797944,0.7124600638977637,-0.4763231197771588,Probolinggo,INATEWS,Probolinggo,7.4,176.0,14.282771321472872,14.282771321472874,3.716415214185204,76.9130440286609,-9.292726310349542,-0.24626419605499106,-0.39621878819507733,-0.05222088027760542,-0.4999999999999997,-0.8660254037844388,0.017201575418260506,0.9998520419557735,0.49999999999999994,0.8660254037844387,0.8058013561281845,3.143630703930802,7.99,-2.2,0.5171599142940903,208.25,1.1590341859609317,4.753223501411146,7.99,-3.0,-0.19029893381638813,208.25,1.9589525953778275,7.4739839731859705,7.99,-4.909090909090909,-1.1897201682435425,208.25,5.6275,4.0,1,0.5471690500435316,1,14.8,88.0,2.311000627512554,1.6954399011220065,0,False,0.0,0.0,0.0,24.01085188601751,0.6425967107046738,False,0.9276012182235718,0.0,0.0
2022-01-02 13:54:00,-7.19882202183768,112.929921652772,0.10543130990415338,-0.8913649025069638,Surabaya,INATEWS,Surabaya,5.5,27.0,0.01372739841566129,0.01372739841566129,0.06199512982890828,3.7583740428844394,-9.292726310349542,1.1392707710699341,-0.011056256139442593,-0.2643665333247893,-0.2588190451025208,-0.9659258262890683,0.03439806061360801,0.9994082116062598,0.49999999999999994,0.8660254037844387,0.767127224270094,1.9221561733968315,7.99,-2.0,0.5173709637708548,172.0,1.1030492671126213,2.8859027381836033,7.99,-2.875,-0.1901556415789802,172.0,1.8655283447870086,4.50898308096811,7.99,-4.818181818181818,-1.1896123969673928,172.0,5.602,5.0,1,4.138771415324209,1,11.0,13.5,0.088773373676873,7.486502962716447,0,False,0.0,0.0,0.0,12.89864333951443,0.0,False,0.9205813407897949,0.0,0.0
2022-01-03 22:30:00,-7.68683062963732,113.280158528909,-0.16293929712460056,0.5626740947075209,Probolinggo,INATEWS,Probolinggo,4.66,549.0,-0.005347475406729056,-0.005347475406729055,-0.04726066032893535,0.9894640051300753,-9.292726310349542,1.7656903765690377,-0.10598443610916668,-0.3134592325339597,-0.5000000000000004,0.8660254037844384,0.051584366869408364,0.9986686402879997,0.49999999999999994,0.8660254037844387,0.5290159026340086,1.2083959812459633,7.99,-1.8,0.5173825618022436,234.83333333333334,0.7583578059681234,1.794746767714083,7.99,-2.75,-0.19014776708484402,234.83333333333334,1.290328056835694,2.7764053205200305,7.99,-4.7272727272727275,-1.1896064744952652,234.83333333333334,5.445,6.0,1,0.5821220620828206,1,9.32,274.5,-0.08530035557031788,-0.3318310802779729,0,False,0.0,0.0,0.0,11.00220077357888,0.3123541412063773,False,0.9169286489486694,0.0,0.0
2022-01-05 22:12:00,-8.30755868100784,114.365018906659,0.2939297124600639,-0.6796657381615598,Banyuwangi,INATEWS,Banyuwangi,6.09,103.0,0.14842811542405676,0.148428115424058,0.3146108914417736,9.5962156711034,-9.292726310349542,2.848774656306037,0.5976951593095461,-0.27722961808469415,-0.5000000000000004,0.8660254037844384,0.08590610426133272,0.9963032375991965,0.49999999999999994,0.8660254037844387,0.6687627656506387,0.6339824892988922,7.99,-1.6,0.5190020742104348,216.0,0.9606562522267249,0.9166161040137875,7.99,-2.625,-0.18904819763773012,216.0,1.6279114833403359,1.3820770119465293,7.99,-4.636363636363637,-1.1887794792254964,216.0,5.537142857142858,7.0,2,-0.16597507997689684,2,12.18,51.5,0.3618781754911646,2.050258000925896,0,False,0.0,0.0,0.0,15.02885654333023,0.0,False,0.9233672618865967,0.0,0.0
2022-01-05 22:25:00,-7.59930410438993,112.98925214586,0.20127795527156547,0.37604456824512533,Probolinggo,INATEWS,Probolinggo,5.8,482.0,0.050429768651524765,0.05042976865152522,0.1588674991477655,6.05340874753913,-9.292726310349542,-0.557083084279737,0.9210085186213004,33.0623408365506,-0.5000000000000004,0.8660254037844384,0.08590610426133272,0.9963032375991965,0.49999999999999994,0.8660254037844387,0.7185949803697455,0.15076458740528823,7.99,-1.4,0.5195968924534002,249.25,1.0327936826755262,0.17790006957079052,7.99,-2.5,-0.18864434524163687,249.25,1.7482900695357853,0.20911640209750387,7.99,-4.545454545454546,-1.188475738500315,249.25,5.57,8.0,1,0.4992457960410113,1,11.6,241.0,0.20463449063850342,-0.1052513374942105,0,False,0.0,0.0,0.0,13.96824971139906,0.0,False,0.9203715324401855,0.0,0.0
2022-01-06 03:32:00,-8.00925436433367,112.693499131075,0.7667731629392973,0.39275766016713093,Malang,INATEWS,Malang,7.57,488.0,25.698019965589207,25.698019965589417,5.012071820905227,100.76274729014492,-9.292726310349542,-0.20561864913329353,-0.21021890929521253,0.06642895058119336,0.7071067811865476,0.7071067811865476,0.10303137904317879,0.9946781061893646,0.49999999999999994,0.8660254037844387,1.0556244518999442,0.19186651689253909,7.99,-1.2,0.7883690513600484,275.77777777777777,1.520679685710909,0.24073436076694524,7.99,-2.375,-0.006161239416797992,275.77777777777777,2.562444758780392,0.3088870109437643,7.99,-4.454545454545454,-1.051228686278224,275.77777777777777,5.792222222222223,9.0,3,0.5946176866282353,3,15.14,244.0,2.8521308608445763,0.25183582801033594,0,False,0.0,0.0,0.0,26.72146770771021,0.9432332157419179,False,0.9269757270812988,0.0,0.0
2022-01-07 05:01:00,-7.81699253104566,113.246798086895,-0.8498402555910544,0.4596100278551532,Probolinggo,INATEWS,Probolinggo,2.51,512.0,-0.006456011902871211,-0.006456011902871211,-0.0798987366239364,0.03250124518861831,-9.292726310349542,1.2552301255230125,-0.12592726998038484,-0.2925085085318104,0.9659258262890683,0.25881904510252074,0.1201261651823505,0.9927586335250793,0.49999999999999994,0.8660254037844387,0.5578319224498408,0.8382095178316166,7.99,-1.0,0.7883690582685565,299.4,0.8000720592276489,1.2288267651928697,7.99,-2.25,-0.006161234726260075,299.4,1.3599382827661084,1.8778166337541327,7.99,-4.363636363636363,-1.0512286827504316,299.4,5.464,10.0,1,0.7549460203751612,1,5.02,256.0,-0.16056462516876763,-0.5361539587995018,0,False,0.0,0.0,0.0,4.035895512413815,0.04971402247429039,False,0.8906726837158203,0.0,0.0
